,text,abuse
5660,"@avocet2 @HackneyAbbott @MailOnline ??????,??",0
5661,"@busty01 @northumbrian_ @HackneyAbbott Change Camilla for Catherine then, she was the subject of abuse and name calling. What did she do to deserve it?",0
5663,@cartichoke2 @T2k2Tracey @SkyNews @HackneyAbbott I suggest you read up a little bit more about it,0
5664,@AvonandsomerRob @jeremycorbyn and @HackneyAbbott,0
5665,RT @REAL_GR33DY: @ZeObserver @Gertrud17566413 @RichardBurgon @HackneyAbbott @LabourAgainstAS It's already in the public domain.,0
5666,@busty01 @lynseybelle506 @HackneyAbbott Disagreeing with you does not mean someone has mental health issues.... reported for tour bigoted abuse.,0
5667,"@AvenueKeir @RichardBurgon @HackneyAbbott Couldn’t be much more anti Semitic if he tried really. 

https://t.co/Gp41TKMT5B",0
5668,"@cash4questions2 @HackneyAbbott Silly me, I thought she was giving me the come on.",0
5670,"RT @AmaOlmaz11: @FHandikap @moetbet @polat1258 @HackneyAbbott @ozkan1903bjk @Hack__tor @Kereta121314 @Oliverinss 
kullanıcı adım korecan55",0
5671,@centralistlion @HackneyAbbott @RichardBurgon Whilst Zionism clearly has Jewish identity at its core: I think it's in the interests of anyone concerned with opposing anti-semitism (irrespective or their views on Zionism or Israeli government policy) that the correct distinctions are made.,0
5672,@HackneyAbbott @Keir_Starmer Love you @HackneyAbbott ✊❤️,0
5673,@GazSez @Malfunctionin14 @nharmertaylor @dawnsmith07 @SocialJake89 @NicolaGray78 @jpcookie50 @MarkMystical667 @deanbean10 @carmel_prescott @barryoleary77 @Nclarke30 @simonmaginn @incorbynsname @RespectIsVital @BenJolly9 @magmogz135 @_JD_Black @HackneyAbbott @MrTopple @SaraCo130813 😘😘💖💖💖💖,0
5674,"@metpoliceuk @SadiqKhan @jeremycorbyn @lisanandy @RLong_Bailey @EmilyThornberry @DavidLammy @HackneyAbbott 
Didn’t you just love that ruling yesterday on free speech! https://t.co/r2lFu87BXy",0
5675,RT @realdonkiddick: @brianpostans28 @HackneyAbbott @BorisJohnson But thankfully it is in Government.,0
5676,"You’re blocked
You can’t follow or see @HackneyAbbott’s Tweets. https://t.co/tEBt7iwXVl",0
5677,"@mrcinical @logger6713 @ChrisSaysABC @HackneyAbbott Their    means  belonging to them

They’re  means they are.",0
5678,@newjonnyberlin @HackneyAbbott Is she going on Monday?,0
5679,@HackneyAbbott @earthygirl011 @SophyRidgeSky @RLong_Bailey She's not Diane she's sold her soul to the BoD and those that abused Corbyn.,0
5680,@HackneyAbbott @LabourLeft @MayaGoodfellow Nope.,0
5681,@Avonjohn77 @HackneyAbbott 🤣🤣,0
5682,"RT @RealGerryRanson: @HackneyAbbott Great to have you back, Diane. We need you now more than ever x",0
5683,RT @realgregsmith: @HackneyAbbott @UKLabour @RLong_Bailey @RichardBurgon Fabulous. 😀 Well done Diane. 👏 Here's to at least ten more Tory years. 🍻,0
5684,@webbpaul5 @ingridmark2005 @55krissi55 @ne_grant @HackneyAbbott Diane was complaining throughout the election campaign about people in this country living below the poverty line and the number of homeless people we have. So we should tell them all to get stuffed because we're busy prioritising the vulnerable from other countries instead?,0
5686,"@HackneyAbbott @Keir_Starmer So, you learned absolutely nothing in the election. Probably the number one reason people voted Brexit but you muppets push on regardless. I think Hell will freeze over before Labour will see power because frankly I think you are all with too dumb or too arrogant to change.",0
5687,@Jamilly121 @MrsFederlein @AlbieCamus @HackneyAbbott https://t.co/WerQ6WrKw8,0
5689,"At #PMQs @jeremycorbyn asks @BorisJohnson if it's 'one rule for young black boys from the Caribbean and another for white boys from America?'

#Jamaica50 #WindrushScandal 
@HackneyAbbott https://t.co/soGYzFX8xv",0
5690,"RT @cold957: @SkyNews @HackneyAbbott Abbott, Lammy et al determined to widen that gap between themselves and ordinary, decent, hard working, law abiding people of this country.
Ever more unelectable as time goes by.",0
5691,"@Cartoon4sale Don't forget, the 5th member of this 'Z' team, our 'beloved' shadow home secretary @HackneyAbbott !   
AND still none of them get it.
AND still none of them have stood down.",0
5692,RT @RealMayonia: @HackneyAbbott The whole immigration experience is a hellish nightmare for whoever is unfortunate enough to become trapped in it.  The system that never moves.  They stereotype people and are so racist.  The freedom from torture report lessons not learned describes the system well.,0
5693,RT @RealNatalieRowe: @0Calamity @HackneyAbbott I’m in ! 🍸 🍸🍸🍸🍸🍸🍸,0
5694,@KieranJC20 @livecorpselives @zarahsultana @HackneyAbbott @MikeSegalov @UKLabour Yes it does for Labour.,0
5695,"@nonconformical @centrist_rascal @Smegger3 @LizaRadley7 @JohnSmi21372434 @HackneyAbbott @UKLabour Wilful semantic misreading. Corbyn Labour only listened to Jewish groups who already agreed with them, which is no way to engage. This addresses that.",0
5696,"@BlackMirrorBal1 @yasminelever @jessphillips @jeremycorbyn @UKLabour @HackneyAbbott Ok no problem, I am in hospital &amp; cranky, just think people need to weary of Jesse P.R. Campaign as her actions don’t follow her words.
No need for abuse to her or anyone in the party though.
My pick if not all female would be @labourlewis as he fought in the army &amp; no baggage.",0
5697,"RT @realpetebennett: If he’s not happy then his parties not happy @UKLabour 

@DavidLammy @EmilyThornberry @RichardBurgon @HackneyAbbott @YvetteCooperMP https://t.co/RbRpva6mJB",0
5699,"Please follow this page. 
In true @HackneyAbbott form I’m sure we can get 20 Millions follows in the next five minutes. #dianeabbott https://t.co/OCsnLvkLld",0
5700,"@AvonandsomerRob @Bukowski20191 @reals_b4_feels @Shargibion @johnnyboy069 @newmoo41 @Funny_Bird86 @marti6118 @YTVChase @Queen1Tiger @NikkiStix55 @Paul66153553 @mis_und3rst0od @HackneyAbbott @HackedOffHugh @acgrayling @jeremycorbyn @realDonaldTrump @BorisJohnson Yes, I heard that too, probably right.",0
5701,RT @PoliceInspForum: @JRfromdablock @SrhJMstrsn @HackneyAbbott @labourpress Thanks I hadn’t seen that. Something really does need to change. The words of outrage every time this happens are absolutely pointless and ineffective.,0
5702,@HackneyAbbott @BellRibeiroAddy All the best Diane. The fact you are still going despite untold abuse is a testament to your strength and dedication. Thank you and good luck with your future endeavors.,0
5703,RT @coatsey9110: @LeaveEUOfficial @campbellclaret @DavidLammy @Anna_Soubry @thatginamiller @hackneyabbott REMOANERS ARE ROUTED,0
5704,"RT @RealSpartacus10: @HackneyAbbott Terror attack, Diane … it was a terror attack!",0
5705,"@Cassand33740354 @HackneyAbbott Ahhh I see you have finally replied. Really love you r wit, but maybe you should take an ounce of you r advise and thank God a little harder. Must be hard being at the bottom of society, atleast my taxes are keeping you afloat.

#BorisJohnsonPM",0
5706,RT @RealSueKelly: @dallo100 @HackneyAbbott Because it was the moral thing to do and was thought the best way to bring the country together. The Johnson approach certainly won't bring people together if the last few days are anything to go by.,0
5707,"RT @Rebartic: Why aren't the Labour party promoting @DavidLammy @DawnButlerBrent or @HackneyAbbott for leader?

I sense institutional racism.

We know Labour is anti-Jew.

It seems Labour is also anti-black.

Amazing!",0
5708,@GroyperCarl @VonPilsner @DavidLammy @jeremycorbyn @HackneyAbbott That many?,0
5709,@HackneyAbbott @BellRibeiroAddy Bye.,0
5710,Just wow!! They've been given phones and now they don't have any signal! This is unreal. #HostileEnvironment needs to be stopped. These people are humans. @AngelaRayner. @HackneyAbbott. @UKLabour need to hold these scumbags to account in the commons. https://t.co/mYVEkUPxaC,0
5711,"RT @StreathamForum: 2/ @KingsleyAbrams told us how he joined the #BlackSections &amp; became their youth organiser, working alongside @HackneyAbbott, @BellosLinda, Keith Vaz, the late great @BGTrust and Paul Boateng.  He later became the general-secretary of #BlackSections..... https://t.co/238lPpZaME",0
5712,@HackneyAbbott @l_ronaldson Aye. You are failing to penetrate the impasse. Then again why change a lifetime habit. New Labour. Old England.,0
5713,"@avodders @LauraCatriona @OwenJones84 @jeremycorbyn @johnmcdonnellMP @HackneyAbbott Wha wha what??

It’s so hard to separate parody accounts from real these days",0
5714,@Caspersmate @HackneyAbbott They only lost the election which is small fry as they did win the argument.,0
5715,"@HackneyAbbott @TracyBrabin Find it absolutely ridiculous the discourse here! Criticisms on health care, housing, jobs, education...Definitely Yes! But the 👗 she’s wearing? How petty and 1950s. Women have proven they are capable and fought for it. Do they have to fight for the kind of dress to wear? Shame",0
5716,@Patrick88372473 @MariekeBoos @lecanardnoir @aidxn23 @RidgeOnSunday @Iromg @HackneyAbbott Security on  every bathroom? People cant go to the bathroom alone anymore.... look at all the problems from this,0
5717,"@ChesterJones80 @HackneyAbbott So ok..as per my previous tweet...what has the left done that has put YOU at a detriment that it needs to be eradicated?
Genuinely",0
5718,@HackneyAbbott @LabourLeft @jeremycorbyn State of the replies,0
5719,@Ash_Hirani @Carti_Mandua @HackneyAbbott Excellent Ash.,0
5720,@DianeAbbott2020 @HackneyAbbott Yes....! !!!,0
5721,@AvonandsomerRob @jazbon @cue_bono @Rebartic @mitsyarty @lisanandy @jeremycorbyn @BorisJohnson @DerrenBrown @stephenfry @Curator134 @DVATW @HackneyAbbott @SirJimmySavile https://t.co/gsJRg6QIR7,0
5722,"at #PMQs @jeremycorbyn asks @BorisJohnson if it's 'one rule for young black boys from the Caribbean and another for white boys from America?'

#Jamaica50 #WindrushScandal 
@HackneyAbbott https://t.co/soGYzFX8xv",0
5723,"RT @AlfredWintle: @HackneyAbbott For the many, not the shoe. https://t.co/nz3Ai13RZa",0
5724,"RT @rebecca95583779: @HackneyAbbott 💔💔💔 I wish people could just let them live in peace, in a way that they need to to be happy xxx",0
5725,@HackneyAbbott https://t.co/IgyvOfXeTW,0
5727,What a mess of a party #Labour is ...@EmilyThornberry the new @HackneyAbbott 🙈 https://t.co/JScZLoAoiE,0
5728,"@DWat999 @HackneyAbbott But surely, don’t Police Officers need them to protect themselves incase a member of the public bites them.",0
5729,RT @rebeccabutlerm2: ....and it echoes in the sound of silence Not a peep from the identity-nuts on child abuse victims of #sexgangs. You cannot shut down debate. #releasethereport #WhitePrivilege ⁦@LozzaFox⁩ ⁦@HackneyAbbott⁩ ⁦@DavidLammy⁩ ⁦@Femi_Sorry⁩ ⁦@piersmorgan⁩ https://t.co/qJprqL3Bo0,0
5730,RT @rebeccabutlerm2: @Blue2_a @piersmorgan @BorisJohnson @patel4witham @sajidjavid @itvnews @bbclaurak @LBC @HackneyAbbott Good luck waiting for @HackneyAbbott to respond! It doesn’t suit her narrative.,0
5733,@HackneyAbbott @MayaGoodfellow Can you please focus your attention to the national scandal of the grooming/rape gangs &amp; disadvantaged &amp; vulnerable children whose lives have been destroyed by them &amp; do something to correct the countrywide mass injustice of this situation,0
5734,@CassiPerry4 @DDLabour @HackneyAbbott Couldn’t agree more.,0
5735,"@nojondo @LeftistDad @Curtly25486521 @HackneyAbbott @UKLabour Diane Abbott's claim that the Jewish communities fars are a smear WAS a disgrace.
I AM a life-long left winger.
I HAVE called out Islamophobia, as you'd know if you'd actually read the replies to the stupid tweets you cretinously liked.

Do one, actual troll.",0
5736,RT @rebeccaturnerMD: Kettle calling the pan black! #megxit #brexit @davidlammy @labourpress @HackneyAbbott @PeterHexpat @BBCr4today https://t.co/zTD6wKusEZ,0
5737,"@jessphillips @lisanandy @DavidLammy @HackneyAbbott @jeremycorbyn 
And they still don’t get it! https://t.co/BHvtSI0bHi",0
5738,@yogurtraisin @LondonLibertar1 @HackneyAbbott The point being made was that by focusing only on one group of people it is a helpful deflection for all other offenders. You proved it by doing exactly that to the disbenefit of 12 out of every 13 victims.,0
5739,RT @rebeccaturnerMD: Thats the number of offences her son committed against @nhsuk staff! Allegedly;) @hackneyabbott https://t.co/qt9uSi3iCK,0
5741,"RT @rebelyellrebel: @silverrich39 Poor @HackneyAbbott would have been savaged for a gaffe like that..hope she’s having a quiet chuckle now. 
What goes around.....
Well, sometimes.",0
5742,RT @52_woke_humbug: @HackneyAbbott @BorisJohnson She blocked me 😆😆😆 lol! https://t.co/7m4kcHMCAU,0
5743,"@eucalyptus44 @LBC @TheSpurrShow @patel4witham @HackneyAbbott 😵

Would be funny if she wasn't in the position she is. 🙄",0
5744,You'd better tell @HackneyAbbott https://t.co/O2EmGmP0ci,0
5745,"@morsLDN @NabeelaAkh @TomMC71154930 @Nick_BLM @IanClegg12 @HackneyAbbott Don’t think this was proved intentional last I heard. Three police officers have been murdered on duty in the last 40 years. Two WPCs killed by Roaul Moat on Merseyside, and Keith Blakelock, hacked to death by a gang of up to 20 people on Broadwater Farm according to his report.",0
5746,RT @dangrains: @JonAshcroft3 @OurParliamentUk @owltan74 @piersmorgan @HackneyAbbott @jeremycorbyn Dreaming of being Cinderella,0
5747,"RT @recklesstrev: @55krissi55 @sue_lees @MarkDrakeford @HackneyAbbott Incredibly disappointing from Labour leader candidates.
One thing a leader absolutely *must* do: 
 - provide leadership!

That involves having values, fighting for them, defending them. Can't do that without speaking out.",0
5748,@ChesterJones80 @HackneyAbbott She didn’t say it was 🤗,0
5750,@HackneyAbbott @linmeitalks Hope he doesn't grow up to have a criminal record,0
5751,@AJC_74 @ClennellMick @HackneyAbbott Just stupid!,0
5752,You'd have preferred @HackneyAbbott then? 😂😂😂😂 https://t.co/LWRH6WYnkJ,0
5753,RT @reckoner1070: @SeemaChandwani Imagine if she was black - would she still be the @BBCNews favourite? Or would they treat her despicably like they do @HackneyAbbott ?,0
5754,@ChesterJones80 @HackneyAbbott So the swamp are the left?  Is that what you mean?,0
5755,@NCurrie8 @HackneyAbbott A lecture is still typically listened to 👍,0
5756,@newjonnyberlin @HackneyAbbott It’s a real shame. She was worth at least half a million votes for Boris !,0
5757,"RT @red_claude: @SkyNews @HackneyAbbott Let’s be clear @HackneyAbbott - as you have been very UNCLEAR with many of your reponses in the past, it is quite clear no one is ever going to vote for @UKLabour when you’re the shadow HS",0
5758,@AyoCaesar @OwenJones84 @DeborahMeaden @rose_marie @carolecadwalla @HackneyAbbott @EmmaKennedy @GeorgeMonbiot @h,0
5759,You'll be missed @HackneyAbbott ❤️ https://t.co/JJu44sX4UO,0
5760,RT @red_revenant: @HackneyAbbott https://t.co/B4GtGGJLPD https://t.co/YzPYz5ZGyd,0
5761,RT @RED660: @AmandaGtto @anotherview16 @HackneyAbbott @scarletslady1 @ThoughtfulKind @AP_Doramaqueen @AmandaMcDonne17 @camanpour I am indeed. Would appreciate your help back by you doing a vote for my wiggly worm cushion! Competition ends tonight.,0
5762,"You'll eventually risk being purged anyway, so you might as well refer yourself (see above self-referal) 2 at least express your discontent with #Labour
https://t.co/00PZJw0RMK
@IanLaveryMP 
@DanCardenMP 
@HackneyAbbott 
@johnmcdonnellMP 
@jeremycorbyn 
@LabourPress
@SeumasMilne",0
5763,RT @RED660: @anotherview16 @HackneyAbbott @scarletslady1 @ThoughtfulKind @AP_Doramaqueen @AmandaGtto @AmandaMcDonne17 @camanpour,0
5764,RT @The_UK_NeedsYou: @labourpress @HackneyAbbott @jeremycorbyn MMMMMMMMMMMMMM How about 2 many immigrants who HAVE moved into the UK who use OUR NHS when they have not paid in 1p,0
5765,@HackneyAbbott @lindjw Unquestionably,0
5766,@gamergran35 @Tara61711 @JerryHicksUnite @hairymarx1 @HeldinEU @Mash_uk77 @robertscullion3 @Ryan38948408 @AlecHitchman1 @HelenYates52 @HackneyAbbott @moodynews101 @hannah_gary @IamalrightJack @PaulJColvin @mariecountryman Thank you Nicola ✊🏴󠁧󠁢󠁳󠁣󠁴󠁿,0
5767,@busty01 @northumbrian_ @HackneyAbbott She wasn't pregnant.,0
5768,"RT @bojack90s: How is it that Fiona Bruce can find the courage to intervene and ""correct"" @HackneyAbbott on something that was right in the first place, yet is powerless to challenge Karen here starting with a hilariously bad population claim and getting more wrong from there?

#BBCqt #bbcbias https://t.co/Z2kHRYT5Qs",0
5769,@jjsmclaughlin @peter95464506 @HackneyAbbott @JuneSim63 It’s not.,0
5770,"@MartynSD @labourpress @HackneyAbbott My pre-election drum was ""Police shouldn't be voting Tory""... It WASN'T ""vote Labour""... That was just another piece of fake news that Tory supporters spent all the time pushing...😡😡😡",0
5771,RT @The_UK_NeedsYou: @labourpress @HackneyAbbott And @UKLabour want to flood the UK with anybody who just wants to walk in &amp; do us harm &amp; allow terrorists to return &amp; live within our communities,0
5772,"RT @RED660: @AP_Doramaqueen @anotherview16 @HackneyAbbott @scarletslady1 @ThoughtfulKind @AmandaGtto @AmandaMcDonne17 @camanpour Please vote for me I’m 500 votes behind the winner at present. Ends today 
https://t.co/dqbJQoonjI",0
5773,RT @RED660: @AP_Doramaqueen @anotherview16 @HackneyAbbott @scarletslady1 @ThoughtfulKind @AmandaGtto @AmandaMcDonne17 @camanpour Thank you loads x,0
5774,@geesa76 @Kevin_Maguire @HackneyAbbott 214% correct! 👍,0
5775,RT @RED660: @SocialJake89  @nharmertaylor @NicolaGray78 @dawnsmith07 @DiaDiGiovanni @HackneyAbbott @karl_trotsky @K4Owen @MarkMystical667 @redsarah99 @jercor1 @suziegeewizz @BlogRedRobin,0
5776,"@HackneyAbbott @lloyd_rm 2/2: to save business,  jobs, livings, we need to be testing. 'Got it' testing and 'had it' testing. And soon.",0
5777,RT @redanddeadly: @AbdSattarIT @PatriciaW2256 @ElaineDyson1 @marie_kate2 @DWPscumbags @Cardiffjhd @POSH_JOCK @SariellaHerself @EnviroFra @ht4ecosocialism @BRUMSTOKIE @AbdullaLoula @Ellieflower12 @LegacyCorbyn @Cornish_Damo @dallo100 @AnEndisNye2 @JohnMarcmail @MsParaDoxy @celtjules66 @ArgyleLoz @barryoleary77 @BradfordianL @DeborahMahmoud1 @GreenSocialists @katemcclelland7 @LKTranslator @ElRaynerista @mikecoulson48 @mojos55 @mellors_karen @galivantes @kapahater @PhillipsBarrie @derekrootboy @redsonya241 @redflag3rd @red_black_cat @Redcountessa @WarmongerHodges @SocialistVoice @zarahsultana @chunkymark @1955nancoys @darrenmark69 @HackneyAbbott @calvindenni @martynwarwick @vamroses @upsadaizy We had the option to join the EU medical supplies procurement scheme but chose not to. It ensures medical supplies within the EU stay within the EU.  Johnson was invited a few days ago but chose not to. We've him to blame imo,0
5778,@HackneyAbbott @Keir_Starmer Yes agree with you 👍,0
5779,"@bekindtoothers_ @theReciprocity @LevisonMoon @HackneyAbbott @MayaGoodfellow The fact people may have used the word exotic in a negative way previously does not mean that it's always used in a negative way.

You're either making a negative assumption or you can read minds.

Intent matters, even exotic folk like us cannot divine intent.",0
5780,@newjonnyberlin @HackneyAbbott It’s a great shame - back to New Labour with a posh white man at the helm,0
5781,RT @the_wigan_peer: @eldemar_o @PatWill97926440 @HackneyAbbott Well done Boris.  Far too many fat arsed dictators lining their own pockets. If India can have a space programme they can afford to look after their own.,0
5782,RT @redanddeadly: @AbdSattarIT @PatriciaW2256 @ElaineDyson1 @marie_kate2 @DWPscumbags @Cardiffjhd @POSH_JOCK @SariellaHerself @EnviroFra @ht4ecosocialism @BRUMSTOKIE @AbdullaLoula @Ellieflower12 @LegacyCorbyn @Cornish_Damo @dallo100 @AnEndisNye2 @JohnMarcmail @MsParaDoxy @celtjules66 @ArgyleLoz @barryoleary77 @BradfordianL @DeborahMahmoud1 @GreenSocialists @katemcclelland7 @LKTranslator @ElRaynerista @mikecoulson48 @mojos55 @mellors_karen @galivantes @kapahater @PhillipsBarrie @derekrootboy @redsonya241 @redflag3rd @red_black_cat @Redcountessa @WarmongerHodges @SocialistVoice @zarahsultana @chunkymark @1955nancoys @darrenmark69 @HackneyAbbott @calvindenni @martynwarwick @vamroses @upsadaizy To add that story is not even true about our facemasks. We could have had access to a lot more resources though,0
5783,"@HackneyAbbott @linmeitalks Numbers 1:18 KJVS
&amp; they assembled all the congregation together on the first day of the second month, &amp; they declared their pedigrees after their families, by the house of their FATHERs, according to the number of the names, from twenty years old and upward, by their polls.",0
5784,"That’s awlful, speak to @HackneyAbbott she will do nothing about it for you https://t.co/qeU65gRRuT",0
5785,RT @redanddeadly: @PatriciaW2256 @ElaineDyson1 @marie_kate2 @DWPscumbags @Cardiffjhd @POSH_JOCK @SariellaHerself @EnviroFra @AbdSattarIT @ht4ecosocialism @BRUMSTOKIE @AbdullaLoula @Ellieflower12 @LegacyCorbyn @Cornish_Damo @dallo100 @AnEndisNye2 @JohnMarcmail @MsParaDoxy @celtjules66 @ArgyleLoz @barryoleary77 @BradfordianL @DeborahMahmoud1 @GreenSocialists @katemcclelland7 @LKTranslator @ElRaynerista @mikecoulson48 @mojos55 @mellors_karen @galivantes @kapahater @PhillipsBarrie @derekrootboy @redsonya241 @redflag3rd @red_black_cat @Redcountessa @WarmongerHodges @SocialistVoice @zarahsultana @chunkymark @1955nancoys @darrenmark69 @HackneyAbbott @calvindenni @martynwarwick @vamroses @upsadaizy We need the truth though. At the minute the NHS is in crisis due to decades of underfunding yet people seem oblivious  &amp; just don't want to know.,0
5786,@AndrewDawes71 @DNPUK88 Bloody hell 2% would prefer @HackneyAbbott ? I can't believe its that high.,0
5787,RT @redbethmond: @jessphillips @HackneyAbbott,0
5788,"RT @RedBoxHackneyN: Phil, could you pls help us get this message out? 

I know there is so much else to do, but your support would be much appreciated, especially if you could help to get on @HackneyAbbott’s radar 🙏❤️

#GrillPhil @mayorofhackney 
#WeLoveHackney
#Covid19UK",0
5789,@kellydanceclub @HackneyAbbott @UKLabour Not least because it was clear to everyone except people like you that he wasn’t going to get anywhere near winning. Thank God he’s gone and Labour has a chance to move on.,0
5790,@LaserMike @AndrewHolnessJM @TheVoiceNews @JamaicaGleaner @JamaicaObserver @followMFJ @BIDdetention @BellRibeiroAddy @HackneyAbbott @DavidLammy @YaraFarag5 @MayaGoodfellow @LisaMoorish @ReneTrevor @ZoeJardiniere PM Its 2020 and you are complicit in subjecting people Jamaican heritage to Apartheid Having a justice system treat us differently from white people because of the colour of our skin or where of ancestors was born,0
5791,Remember when @HackneyAbbott got all that flack for her maths? I imagine the same newspapers and commentators will drag them back out for Priti ... https://t.co/1Ju3xOC0Y9,0
5792,"RT @RedBoxHackneyN: We know many of our brilliant #Hackney schools have already signed up for their free period products - has yours?

Time to join the #PeriodRevolution, Hackney!

Pls do share with your school networks - we need everyone to sign up ❤️

@mayorofhackney @hackneysuccess @HackneyAbbott https://t.co/mqXSGDVYgr",0
5793,"RT @redbrowny31: @labourpress @HackneyAbbott How many Tasers have gone into use during the period of this review? They didn’t have them before! 🙄

I see there has been a disproportionate decrease in the use of brain cells in some politicians.",0
5794,"Supermarkets+Govt need 2 limit sale of toilet rolls, pasta etc 2 #StopPanicBuying @Tesco @sainsburys @waitrose @marksandspencer @asda @Morrisons @AldiUK @LidlGB @coopuk @SPARintheUK @patel4witham @HackneyAbbott @Keir_Starmer @DrRosena @DawnButlerBrent @BorisJohnson @jeremycorbyn",0
5795,@mrcinical @jjstewart84 @melook99 @HackneyAbbott If you ridiculed anyone for a mistake made while ill I would say you were wrong. You chose to not say anything about mistakes Boris as made which could cost people their lives and ridicule Diane for a remark made 3 years ago and you expect us to believe you dont have an agenda.,0
5796,"RT @RedcliffeScott: @Reniour @HackneyAbbott @JamesKelly I used to like Tim Sebastian on Hardtalk who is now on a Euro channel. 
I learn more from Fintan O Toole, Siobhan Fenton and Tony Connelly about Brexit than the entire BBC and Sky teams combined.",0
5798,"RT @RedcliffeScott: @Reniour @HackneyAbbott @JamesKelly Martin Blundell from Sky. On crime. 
But good journos who risk career for the story are non existent. Too many Witchells who kerp it simple and dumb it down. 
J like David Bleci s covering N.I. A tough gig but gets it right. 
Whereas Scottish journos like Campbell or Taylor.....",0
5799,"RT @RedcliffeScott: @Reniour @HackneyAbbott @JamesKelly The press is not free. It is a group of rich people controlling the editorial and the media message.
If the editorial line was free the press might be free. But it is not.",0
5800,RT @RedcliffeScott: @Reniour @HackneyAbbott @JamesKelly You make the effort of course but the sheep do not.,0
5801,"RT @Redcountessa: @HackneyAbbott @BrianBalicki @UKLabour and its already happened to some extent under the current leadership much as I love them, they've got that wrong. So many socialists thrown under a bus to try and appease the right wingers",0
5802,What a scummy thing to do. Targeted harassment. Solidarity @HackneyAbbott https://t.co/Ugz72EQ2iy,0
5804,@JamesHesp @HackneyAbbott @UKLabour @RLong_Bailey @RichardBurgon 😂😂😂😂👌,0
5806,RT @the_wigan_peer: @HackneyAbbott @UKLabour @RLong_Bailey @RichardBurgon Thanks Diane it's greatly appreciated. Your endorsing of these 2 numpties should keep the Conservatives in Government for decades.,0
5807,RT @redflag3rd: @chelleryn99 @HackneyAbbott @UKLabour But some of them came back once Jeremy Corbyn became leader Chelley that shows that JC had the proper Lab values at heart how will they run the Lab party it ain't cheap for staff wages cos even without the PURGE people will leave if Starmer or Nandy become leader cos CONT,0
5808,RT @redflag3rd: @chelleryn99 @HackneyAbbott @UKLabour Thanks Chelley us Socialist have to stick together UNITED WE STAND DIVIDED WE FALL as the saying goes,0
5809,Politicians like @AOC @AngelaRayner @DawnButlerBrent @HackneyAbbott @RLong_Bailey @IlhanMN @RashidaTlaib who lead the fight for equality and continually challenge those in power and the corruption they witness.,0
5810,RT @redflag3rd: @chelleryn99 @HackneyAbbott @UKLabour The Lab PLP MPs have never done DEMOCRACY Chelley I was on the door step for Lab B4 the 2015 G.E &amp; got dogs abuse from the voters &amp; members REASON every one was saying why vote Lab when all I will get is DILUTED TORY POLICIES,0
5811,RT @redflag3rd: @DaveH96899945 @hadealspeaks @DawnButlerBrent @HackneyAbbott Dave I stopped watching bbcqt Jan 2019 cos of the racial abuse she got from F.Bruce B4 the program went live it was reported on here by 5 different audience members then the bbc is no more than a shithouse,0
5812,RT @redflag3rd: @HackneyAbbott @Keir_Starmer @UKLabour P.S keep your chin up Diane the Lab party members are standing with you &amp; stay safe at this time ❤️❤️🌹🌹🌹,0
5813,RT @redflag3rd: @HackneyAbbott @rins2pworth @RichardBurgon Diane Richard is a damn good REAL Lab MP &amp; deserves to be on the ballot paper,0
5814,":
➡️ #BlackExcellence ⬅️
:
#UKBLM #BLMUK #BlackTwitterUK #BlackLivesMatter @HackneyAbbott #DianeAbbott https://t.co/dxrV3imDwF",0
5816,What a shame but I hope @HackneyAbbott gets some respite from the vitriol directed toward her https://t.co/hkHVh0rHaL,0
5817,"@nonconformical @centrist_rascal @Smegger3 @LizaRadley7 @JohnSmi21372434 @HackneyAbbott @UKLabour Because nobody believes him. Plus he lied about it. See also his dogwhistling on ""suspended members"" and not signing the BoD pledges.

Let alone his stupid Benn University, handing UK military policy to party subs payers etc

Bloke's a buffoon.",0
5818,"RT @FranK19771264: @bluecoatboy2 @HackneyAbbott Yep, why not follow your own advice, or are you too busy infecting everyone else!",0
5819,"@heytherehaIey This evil government of #Cameroon is still being described by @commonwealthsec as valuable.
@PScotlandCSG Will that flag representing the blood of our children fly at Westminster Abbey on #CommonwealthDay? Just a question! @LBCNews @HackneyAbbott @DominicRaab @JamesDuddridge https://t.co/GRPIkCVyMd",0
5820,RT @redflag3rd: @HackneyAbbott Scared or a bad case of DIARRHEA by PP it will only show people that the tories do not like people protesting she would better wait &amp; see the protest when the voters of the UK realise that the tories have LIED thru there teeth B4 the 2019 G.E,0
5821,"@DWat999 @HackneyAbbott All easily understood because @HackneyAbbott hates the police, any form of reasoning with her on police matters is futile.",0
5822,"R u serious PM @BorisJohnson? I guess u are NOT including us JAMAICAN'S in this GROUP, after yr RECENT CRUEL treatment in front of WORLD, PM @AndrewHolnessJM @DavidLammy @jeremycorbyn @Keir_Starmer @DawnButlerBrent @labourlewis @NadiaWhittomeMP @BellRibeiroAddy @HackneyAbbott! https://t.co/y8Hr8Th8R1",0
5823,@HackneyAbbott @LisaScher @jeremycorbyn Tbh I could vote for three of the Deputy candidates but none of the Leader candidates fill me with confidence sadly,0
5824,"What a shower of uselessness ..... Labour, simple answer, go centre Left, sack @jeremycorbyn @HackneyAbbott @johnmcdonnellMP and anyone that sounds like them, @edMillibands useless so bin him as well ... start again from scratch - you have four years. https://t.co/1BLnJtjsws",0
5825,@addicted2newz @HackneyAbbott bye,0
